,Name,ID,State,Network,County,Elevation_feet,Latitude,Longitude
1676,SDSU_Antelope_Research_Station_(Calving_Pasture_Site),94081,SD,USCRN,Buffalo,2883,45.51,-103.3
1677,Sevilleta_National_Wildlife_Refuge_(LTER_Site),3048,NM,USCRN,Socorro,4847,34.35,-106.88
1678,Shawnee_Trail_Conservation_Area,23908,MO,USCRN,Joplin,952,37.42,-94.58
1679,Sheldon_National_Wildlife_Refuge_(Little_Sheldon_Site),4139,NV,USCRN,Denio,6500,41.84,-119.63
1680,Sonora_Desert_Museum,53131,AZ,USCRN,Tucson,2733,32.23,-111.16
1681,South_Slough_National_Estuarine_Research_Reserve_(Frederickson_Marsh_Site),4141,OR,USCRN,Coos_Bay,12,43.27,-124.31
1682,Stroud_Water_Research_Center,3761,PA,USCRN,Avondale,400,39.85,-75.78
1683,Talladega_Municipal_Airport,73803,AL,USCRN,Talladega,525,33.57,-86.05
1684,The_Nature_Conservancy_(Samuel_H._Ordway_Prairie_Hdq._Site),54933,SD,USCRN,Aberdeen,1957,45.71,-99.12
1685,The_Nature_Conservancy_Gustavus_Forelands_Preserve,25380,AK,USCRN,Gustavus,20,58.42,-135.69
1686,The_Nature_Conservancy_Gustavus_Forelands_Preserve,UN,AK,USCRN,Gustavus,20,58.42,-135.69
1687,The_Nature_Conservancy_Kansas_(Smoky_Valley_Ranch),3067,KS,USCRN,Oakley,2870,38.87,-100.96
1688,Theodore_Roosevelt_National_Park_(Painted_Canyon_Site),94080,ND,USCRN,Medora,2771,46.89,-103.37
1689,Thomas_Jefferson_Foundation,3759,VA,USCRN,Charlottesville,1177,37.99,-78.46
1690,Thomasville,23802,AL,USCRN,Thomasville,350,31.88,-87.73
1691,Troy,23801,AL,USCRN,Troy,472,31.79,-86.0
1692,U.S._Army_Yuma_Proving_Ground__(Redbluff_Pavement_Site),53154,AZ,USCRN,Yuma,620,32.83,-114.18
1693,Univ._of_California_-_Santa_Barbara_(Coal_Oil_Point_Reserve),53152,CA,USCRN,Santa_Barbara,18,34.41,-119.87
1694,Univ._of_Illinois_(Bondville_Environ._&_Atmos._Resrch._Stn.),54808,IL,USCRN,Champaign,700,40.05,-88.37
1695,Univ._of_Tennessee_(Plateau_Research_and_Education_Center),63855,TN,USCRN,Crossville,1913,36.01,-85.13
1696,University_of_California_-_Davis_(Bodega_Marine_Laboratory),93245,CA,USCRN,Bodega,63,38.32,-123.07
1697,University_of_GA_Phil_Campbell_Sr_Natural_Resource_Conservation_Center,63850,GA,USCRN,Watkinsville,741,33.78,-83.38
1698,University_of_Hawaii_Waiakea__Experiment_Station,21515,HI,USCRN,Hilo,622,19.64,-155.08
1699,University_of_Kentucky_(Woodford_County_Site),63838,KY,USCRN,Versailles,891,38.09,-84.74
1700,University_of_Louisiana_at_Lafayette_(Cade_Farm),53960,LA,USCRN,Lafayette,35,30.09,-91.87
1701,University_of_Maine__(Rogers_Farm_Site),94644,ME,USCRN,Old_Town,127,44.92,-68.7
1702,University_of_Missouri_(Forage_Systems_Research_Station),13301,MO,USCRN,Chillicothe,833,39.86,-93.14
1703,University_of_Nebraska_(Prairie_Pines_Site),94995,NE,USCRN,Lincoln,1189,40.84,-96.56
1704,University_of_New_Hampshire_(Kingman_Farm_Site),54794,NH,USCRN,Durham,119,43.17,-70.92
1705,University_of_New_Hampshire_(Thompson_Farm_Site),54795,NH,USCRN,Durham,63,43.1,-70.94
1706,University_of_Rhode_Island_(Peckham_Farm_Site),54797,RI,USCRN,Kingston,106,41.47,-71.54
1707,University_of_Rhode_Island_(Plains_Road_Site),54796,RI,USCRN,Kingston,115,41.49,-71.54
1708,Upper_Ouachita_National_Wildlife_Refuge,53961,LA,USCRN,Monroe,88,32.88,-92.11
1709,US_Fish_&_Wildlife_Service_Turnbull_NWR_(Headquarters_Site),4136,WA,USCRN,Spokane,2267,47.41,-117.52
1710,USDA_Comanche_National_Grassland,3063,CO,USCRN,La_Junta,4386,37.86,-103.82
1711,USGS__Sitka_Magnetic_Observatory,25379,AK,USCRN,Sitka,78,57.05,-135.32
1712,USGS_Shumagin_Magnetic_Observatory,25630,AK,USCRN,Sand_Point,240,55.34,-160.46
1713,Valley_Head,63862,AL,USCRN,Valley_Head,1020,34.56,-85.61
1714,Whiskeytown_National_Recreation_Area_(RAWS_Site),4222,CA,USCRN,Redding,1418,40.65,-122.6
1715,White_River_Trace_Conservation_Area_(Stand_4_Compartment_7),23909,MO,USCRN,Salem,1198,37.63,-91.72
1716,Yosemite_National_Park_(Crane_Flat_Lookout),53150,CA,USCRN,Yosemite_Village,6620,37.75,-119.82
1717,ABER,2,TX,WTM,Hale,3333,33.88,-101.76
1718,AIKE,79,TX,WTM,Hale,3321,34.13,-101.57
1719,AMAS,75,TX,WTM,Randall,3611,35.11,-101.8
1720,AMHE,16,TX,WTM,Lamb,3647,34.02,-102.4
1721,AMNW,82,TX,WTM,Potter,3323,35.42,-101.93
1722,ANTO,30,TX,WTM,Hockley,3405,33.73,-102.19
1723,ASPE,41,TX,WTM,Aspermont_(Stonewall_Co._Airp.),1740,33.17,-100.2
1724,BIGL,64,TX,WTM,Big_Lake_(Reagan_Co._Airport),2701,31.19,-101.47
1725,BOOT,69,TX,WTM,Western_Deaf_Smith,4423,34.89,-102.99
1726,BROW,10,TX,WTM,Terry,3314,33.15,-102.27
1727,CAPR,61,TX,WTM,Briscoe,2650,34.41,-101.07
1728,CHIL,50,TX,WTM,Childress,1943,34.46,-100.2
1729,CLAR,35,TX,WTM,Donley,2836,34.92,-100.93
1730,CLAU,74,TX,WTM,Armstrong,3451,34.98,-101.5
1731,CLYD,92,TX,WTM,Callahan,2017,32.41,-99.53
1732,COYA,63,TX,WTM,Pecos,2569,31.28,-103.07
1733,CROW,103,TX,WTM,Foard,1483,33.98,-99.71
1734,DENV,45,TX,WTM,Yoakum,3652,32.99,-102.94
1735,DIMM,21,TX,WTM,Castro,3876,34.57,-102.29
1736,DORA,53,TX,WTM,Roosevelt,4340,33.92,-103.36
1737,DOZI,81,TX,WTM,Collingsworth,2267,35.08,-100.39
1738,FLOY,8,TX,WTM,Floyd,3179,34.0,-101.33
1739,FLUV,31,TX,WTM,Northeast_Borden,2705,32.9,-101.2
1740,FRIO,20,TX,WTM,Parmer,4005,34.65,-102.69
1741,GDNT,85,TX,WTM,Armstrong,3155,35.03,-101.19
1742,GOOD,43,TX,WTM,Western_Hardeman,1644,34.34,-99.94
1743,HART,19,TX,WTM,Castro,3694,34.42,-102.11
1744,HERE,42,TX,WTM,Deaf_Smith,3863,34.83,-102.42
1745,JAYT,39,TX,WTM,Jayton_(Kent_Co._Airport),2010,33.23,-100.57
1746,JUNC,65,TX,WTM,Kimble,1720,30.47,-99.78
1747,LAMS,18,TX,WTM,Dawson,2956,32.71,-101.94
1748,LBBW2,33,TX,WTM,Lubbock,3232,33.6,-101.9
1749,LEVE,6,TX,WTM,Hockley,3496,33.53,-102.36
1750,LOMA,77,TX,WTM,Howard,2509,32.1,-101.63
1751,MALL,29,TX,WTM,Southeast_Cochran,3625,33.39,-102.61
